parcel_id,ai_area_adjusted_score,ai_area_adjusted_category,recommendation,reasoning_summary,crime_economic_summary,key_risks,missing_information,next_due_diligence_step,confidence_level
41025-02-01-04710,6.69,Manual Review Candidate,Drive By,Bid cost 1273.20 for parcel 41025-02-01-04710 at 5901 N GARRISON PL E stays in Manual Review Candidate because crime risk is High and median household income 41493.0; fallback confidence is High.,Crime signal is High with Low confidence. Economic risk is High with High confidence.,Area-level crime proxy is high risk. Economic context is weak. Crime context is low-confidence and city-level only.,Fallback used: Reasoning summary missing required concrete fields.,"Verify assessor details, title/liens, street-level condition, and whether the parcel is practically usable before bidding.",High
41025-02-01-05430,6.69,Manual Review Candidate,Drive By,Bid cost 1273.20 for parcel 41025-02-01-05430 at 522 E 59 ST N stays in Manual Review Candidate because crime risk is High and median household income 41493.0; fallback confidence is High.,Crime signal is High with Low confidence. Economic risk is High with High confidence.,Area-level crime proxy is high risk. Economic context is weak. Crime context is low-confidence and city-level only.,Fallback used: Reasoning summary missing required concrete fields.,"Verify assessor details, title/liens, street-level condition, and whether the parcel is practically usable before bidding.",High
43300-03-29-14980,6.64,Manual Review Candidate,Drive By,Bid cost 1094.55 for parcel 43300-03-29-14980 at 1728 N ATLANTA CT E stays in Manual Review Candidate because crime risk is High and median household income 36410.0; fallback confidence is High.,Crime signal is High with Low confidence. Economic risk is High with High confidence.,Area-level crime proxy is high risk. Economic context is weak. Crime context is low-confidence and city-level only.,Fallback used: Reasoning summary missing required concrete fields.,"Verify assessor details, title/liens, street-level condition, and whether the parcel is practically usable before bidding.",High
25500-03-29-05850,6.64,Manual Review Candidate,Drive By,Bid cost 1095.22 for parcel 25500-03-29-05850 at 2604 E TECUMSEH ST N stays in Manual Review Candidate because crime risk is High and median household income 36410.0; fallback confidence is High.,Crime signal is High with Low confidence. Economic risk is High with High confidence.,Area-level crime proxy is high risk. Economic context is weak. Crime context is low-confidence and city-level only.,Fallback used: Reasoning summary missing required concrete fields.,"Verify assessor details, title/liens, street-level condition, and whether the parcel is practically usable before bidding.",High
00575-93-06-00770,6.3,Manual Review Candidate,Drive By,"Parcel 00575-93-06-00770 at 405 S WHEELING AV E in Tulsa has strong property clarity and geocoding, and is clearly a residential-improvement (R IMP) parcel. The bid cost of 1468.51 fits the target $1,000–$1,500 range. However, the surrounding tract shows weak economic conditions (median household income about 34,417, poverty rate about 31%, vacancy about 20.6%, and low owner-occupancy), and the city-level crime proxy flags Tulsa as high risk. These factors prevent it from being a Top Candidate but justify keeping it in a manually reviewed pool.","Crime risk level is High based on a low-confidence, city-level proxy for Tulsa (NeighborhoodScout), with reported odds of violent-crime victimization around 1 in 107 and property crime around 1 in 22, and Tulsa described as safer than only about 2% of U.S. cities. Economic data for Census Tract 2301 are high-confidence and weak: median household income is about 34,417, poverty rate is roughly 31.5%, unemployment about 6.0%, median home value about 77,900, median gross rent about 895, vacancy rate about 20.6%, and owner-occupied rate only about 34.3%, all indicating a high economic risk environment.","1) High crime risk level for Tulsa based on city-level data, with no parcel-specific or 0.5-mile incident counts. 2) Weak tract-level economics: high poverty, elevated vacancy, low owner-occupancy, and modest home values, which may limit appreciation and tenant quality. 3) Economic context is clearly high risk even though the data quality is high, suggesting structural challenges in the immediate area. 4) Owner name is unknown in the dataset, which may signal title or record-keeping complexity typical of tax auctions. 5) ZIP was initially unknown and only later confirmed as 74104, indicating some historical data inconsistency.","1) No parcel-level or 0.5-mile crime incident counts; only a low-confidence city-level crime proxy is available. 2) No interior or exterior condition data, photos, or year built. 3) No information on current occupancy, liens beyond the tax issue, code violations, or demolition orders. 4) No rental comps or ARV estimates specific to this block or neighborhood. 5) No confirmation of utilities status, access, or any structural issues.","Manually verify on-the-ground and official records: (a) pull county assessor and treasurer records for 405 S WHEELING AV E to confirm structure type, square footage, year built, and any additional liens; (b) check city code-enforcement and demolition lists for this parcel; (c) obtain recent street-view or in-person photos to assess condition and occupancy; (d) review local crime maps for a 0.5–1 mile radius around the parcel to validate the high crime proxy; and (e) run rent and sale comps in ZIP 74104 and specifically in Census Tract 2301 to see if the 1468.51 bid cost is justified relative to realistic resale or rental potential.",Medium
43300-03-29-09940,6.62,Manual Review Candidate,Drive By,Bid cost 1179.88 for parcel 43300-03-29-09940 at 2311 N ATLANTA AV E stays in Manual Review Candidate because crime risk is High and median household income 36410.0; fallback confidence is High.,Crime signal is High with Low confidence. Economic risk is High with High confidence.,Area-level crime proxy is high risk. Economic context is weak. Crime context is low-confidence and city-level only.,Fallback used: Reasoning summary missing required concrete fields.,"Verify assessor details, title/liens, street-level condition, and whether the parcel is practically usable before bidding.",High
05850-03-30-04070,6.53,Manual Review Candidate,Drive By,Bid cost 1297.53 for parcel 05850-03-30-04070 at 1844 N TRENTON AV E stays in Manual Review Candidate because crime risk is High and median household income 32356.0; fallback confidence is High.,Crime signal is High with Low confidence. Economic risk is High with High confidence.,Area-level crime proxy is high risk. Economic context is weak. Crime context is low-confidence and city-level only.,Fallback used: Reasoning summary missing required concrete fields.,"Verify assessor details, title/liens, street-level condition, and whether the parcel is practically usable before bidding.",High
21875-03-17-04770,6.47,Manual Review Candidate,Drive By,Bid cost 1482.90 for parcel 21875-03-17-04770 at 4004 N DELAWARE AV E stays in Manual Review Candidate because crime risk is High and median household income 27083.0; fallback confidence is High.,Crime signal is High with Low confidence. Economic risk is High with High confidence.,Area-level crime proxy is high risk. Economic context is weak. Crime context is low-confidence and city-level only.,Fallback used: Reasoning summary missing required concrete fields.,"Verify assessor details, title/liens, street-level condition, and whether the parcel is practically usable before bidding.",High
21825-03-17-04060,6.46,Manual Review Candidate,Drive By,Bid cost 1273.20 for parcel 21825-03-17-04060 at 4427 N EVANSTON PL E stays in Manual Review Candidate because crime risk is High and median household income 27083.0; fallback confidence is High.,Crime signal is High with Low confidence. Economic risk is High with High confidence.,Area-level crime proxy is high risk. Economic context is weak. Crime context is low-confidence and city-level only.,Fallback used: Reasoning summary missing required concrete fields.,"Verify assessor details, title/liens, street-level condition, and whether the parcel is practically usable before bidding.",High
23175-03-30-13510,6.43,Manual Review Candidate,Drive By,Bid cost 1358.53 for parcel 23175-03-30-13510 at 2529 N QUAKER AV E stays in Manual Review Candidate because crime risk is High and median household income 32356.0; fallback confidence is High.,Crime signal is High with Low confidence. Economic risk is High with High confidence.,Area-level crime proxy is high risk. Economic context is weak. Crime context is low-confidence and city-level only.,Fallback used: Reasoning summary missing required concrete fields.,"Verify assessor details, title/liens, street-level condition, and whether the parcel is practically usable before bidding.",High
03350-03-31-03600,6.38,Manual Review Candidate,Drive By,Bid cost 1313.58 for parcel 03350-03-31-03600 at 1140 N WHEELING AV E stays in Manual Review Candidate because crime risk is High and median household income 47612.0; fallback confidence is High.,Crime signal is High with Low confidence. Economic risk is High with High confidence.,Area-level crime proxy is high risk. Economic context is weak. Crime context is low-confidence and city-level only.,Fallback used: Reasoning summary missing required concrete fields.,"Verify assessor details, title/liens, street-level condition, and whether the parcel is practically usable before bidding.",High
44675-92-08-05920,6.36,Manual Review Candidate,Drive By,Bid cost 1019.23 for parcel 44675-92-08-05920 at 1005 S 51 AV W stays in Manual Review Candidate because crime risk is High and median household income 43750.0; fallback confidence is Medium.,Crime signal is High with Low confidence. Economic risk is Medium with High confidence.,Area-level crime proxy is high risk. Crime context is low-confidence and city-level only.,Fallback used: Reasoning summary missing required concrete fields.,"Verify assessor details, title/liens, street-level condition, and whether the parcel is practically usable before bidding.",Medium
43300-03-29-12660,6.28,Manual Review Candidate,Drive By,Bid cost 1289.87 for parcel 43300-03-29-12660 at 2022 N LEWIS PL E stays in Manual Review Candidate because crime risk is High and median household income 36410.0; fallback confidence is High.,Crime signal is High with Low confidence. Economic risk is High with High confidence.,Area-level crime proxy is high risk. Economic context is weak. Crime context is low-confidence and city-level only.,Fallback used: Reasoning summary missing required concrete fields.,"Verify assessor details, title/liens, street-level condition, and whether the parcel is practically usable before bidding.",High
24275-93-06-15060,6.24,Manual Review Candidate,Drive By,Bid cost 1319.86 for parcel 24275-93-06-15060 at 1415 E ADMIRAL BV N stays in Manual Review Candidate because crime risk is High and median household income 60379.0; fallback confidence is High.,Crime signal is High with Low confidence. Economic risk is Medium with High confidence.,Area-level crime proxy is high risk. Crime context is low-confidence and city-level only. Property type appears commercial or unclear for a residential auction screen.,Fallback used: Reasoning summary missing required concrete fields.,"Verify assessor details, title/liens, street-level condition, and whether the parcel is practically usable before bidding.",High
44650-92-04-12680,5.2,Risky / Needs Verification,Watch,"Parcel 44650-92-04-12680 at 224 N 46 AV W, Tulsa, OK, with a bid cost of 1378.52, sits in a tract with modest but not strong economic indicators (median household income 38,750, median home value 76,300, relatively high vacancy at 16.7%). The property type is coded as C, suggesting commercial or unclear use, which is a major concern for a residential-focused auction screen. Geocoding confidence is only medium, and residential likelihood is low (3.0), so the exact nature and usability of the asset are uncertain. These factors prevent it from being a clear top candidate but keep it in potential consideration if a commercial or mixed-use angle is acceptable.","Crime risk is flagged as high based on a low-confidence, city-level proxy for Tulsa (NeighborhoodScout 2021), with reported odds of violent-crime victimization around 1 in 107 and property crime around 1 in 22, and Tulsa described as safer than only about 2% of U.S. cities. This is not parcel- or neighborhood-specific, so it should be treated cautiously but still as a negative signal. Economically, the tract shows medium risk with median household income of 38,750, a poverty rate of about 25.97%, unemployment around 7.33%, and a relatively low median home value of 76,300. Owner-occupancy is moderate at about 60.3%, but the vacancy rate is elevated at 16.7%, suggesting some local weakness or instability. Overall, the area is economically modest with meaningful downside risk and no strong upside signals in the provided data.","1) Crime: High crime risk at the city level with only low-confidence, non-parcel-specific data; Tulsa overall is characterized as having a high crime rate.
2) Property type/use: Property Type C suggests commercial or unclear use, which is misaligned with a straightforward residential tax-auction strategy and may complicate valuation, financing, and exit.
3) Geocoding and residential likelihood: Only medium geocode confidence and a low residential likelihood score (3.0) increase the chance that the asset is not a standard residential lot or structure.
4) Economic conditions: Tract-level data show relatively low median income, high poverty (≈26%), elevated unemployment (≈7.3%), and high vacancy (16.7%), all of which point to weaker demand and potential difficulty in resale or stable tenancy.
5) Ownership/records: Owner name is unknown in the provided data, which may signal record complexity or additional title research needs.","1) Exact property use and improvements: No confirmation whether this is land only, a commercial structure, or a residential structure; no building size, year built, or condition data.
2) Parcel-level crime: No incident counts or rates within 0.5 miles; only city-level proxy data are available.
3) Marketability indicators: No recent sales comps, rent comps, or local demand indicators specific to this block or immediate neighborhood.
4) Legal/title details: No title report, lien/judgment status, or confirmation of any special zoning or code enforcement issues.
5) Physical access and utilities: No confirmation of road access, utility availability, or any encroachments/easements.","Verify the exact property use and zoning for Parcel 44650-92-04-12680 with the Tulsa County Assessor or planning department (confirm whether Property Type C is commercial, mixed-use, or misclassified), then pull parcel-level or at least neighborhood-level crime and recent sales/rent comps around 224 N 46 AV W, and obtain a preliminary title check to identify any liens or legal complications before considering it for a Top 50 list.",Medium
99026-90-26-37752,5.46,Risky / Needs Verification,Watch,Bid cost 1195.21 for parcel 99026-90-26-37752 at 4539 S 208 AV W stays in Risky / Needs Verification because crime risk is Unknown and economic data is Unknown; fallback confidence is Low.,Crime signal is Unknown with Unknown confidence. Economic risk is Unknown with Unknown confidence.,Geocoding confidence is weak. Economic coverage is weak or incomplete.,Fallback used: Reasoning summary missing required concrete fields.,"Verify assessor details, title/liens, street-level condition, and whether the parcel is practically usable before bidding.",Low
31125-92-27-16860,5.25,Risky / Needs Verification,Watch,Bid cost 1097.08 for parcel 31125-92-27-16860 at 4212 S 26 AV W stays in Risky / Needs Verification because crime risk is High and economic data is Unknown; fallback confidence is Low.,Crime signal is High with Low confidence. Economic risk is Unknown with Unknown confidence.,Geocoding confidence is weak. Area-level crime proxy is high risk. Crime context is low-confidence and city-level only. Economic coverage is weak or incomplete.,Fallback used: Reasoning summary missing required concrete fields.,"Verify assessor details, title/liens, street-level condition, and whether the parcel is practically usable before bidding.",Low
99026-90-26-34620,5.19,Risky / Needs Verification,Watch,Bid cost 1084.30 for parcel 99026-90-26-34620 at 4403 S 208 AV W stays in Risky / Needs Verification because crime risk is Unknown and economic data is Unknown; fallback confidence is Low.,Crime signal is Unknown with Unknown confidence. Economic risk is Unknown with Unknown confidence.,Geocoding confidence is weak. Economic coverage is weak or incomplete.,Fallback used: Reasoning summary missing required concrete fields.,"Verify assessor details, title/liens, street-level condition, and whether the parcel is practically usable before bidding.",Low
16250-92-05-00670,5.16,Risky / Needs Verification,Watch,Bid cost 1417.19 for parcel 16250-92-05-00670 at 417 S 55 AV W stays in Risky / Needs Verification because crime risk is High and economic data is Unknown; fallback confidence is Low.,Crime signal is High with Low confidence. Economic risk is Unknown with Unknown confidence.,Geocoding confidence is weak. Area-level crime proxy is high risk. Crime context is low-confidence and city-level only. Economic coverage is weak or incomplete.,Fallback used: Reasoning summary missing required concrete fields.,"Verify assessor details, title/liens, street-level condition, and whether the parcel is practically usable before bidding.",Low
99029-90-29-20530,5.14,Risky / Needs Verification,Watch,Bid cost 1268.53 for parcel 99029-90-29-20530 at 4201 S 252 AV W stays in Risky / Needs Verification because crime risk is Unknown and economic data is Unknown; fallback confidence is Low.,Crime signal is Unknown with Unknown confidence. Economic risk is Unknown with Unknown confidence.,Geocoding confidence is weak. Economic coverage is weak or incomplete.,Fallback used: Reasoning summary missing required concrete fields.,"Verify assessor details, title/liens, street-level condition, and whether the parcel is practically usable before bidding.",Low
54500-92-28-08600,5.14,Risky / Needs Verification,Watch,Bid cost 1280.60 for parcel 54500-92-28-08600 at 4224 S 47 AV W stays in Risky / Needs Verification because crime risk is Unknown and economic data is Unknown; fallback confidence is Low.,Crime signal is Unknown with Unknown confidence. Economic risk is Unknown with Unknown confidence.,Geocoding confidence is weak. Economic coverage is weak or incomplete.,Fallback used: Reasoning summary missing required concrete fields.,"Verify assessor details, title/liens, street-level condition, and whether the parcel is practically usable before bidding.",Low
20625-92-04-05790,5.14,Risky / Needs Verification,Watch,Bid cost 1483.85 for parcel 20625-92-04-05790 at 402 S 33 AV W stays in Risky / Needs Verification because crime risk is High and economic data is Unknown; fallback confidence is Low.,Crime signal is High with Low confidence. Economic risk is Unknown with Unknown confidence.,Geocoding confidence is weak. Area-level crime proxy is high risk. Crime context is low-confidence and city-level only. Economic coverage is weak or incomplete.,Fallback used: Reasoning summary missing required concrete fields.,"Verify assessor details, title/liens, street-level condition, and whether the parcel is practically usable before bidding.",Low
96203-62-03-50220,4.97,Risky / Needs Verification,Watch,Bid cost 1064.76 for parcel 96203-62-03-50220 at 18911 S 29 AV W stays in Risky / Needs Verification because crime risk is Unknown and economic data is Unknown; fallback confidence is Low.,Crime signal is Unknown with Unknown confidence. Economic risk is Unknown with Unknown confidence.,Geocoding confidence is weak. Economic coverage is weak or incomplete.,Fallback used: Reasoning summary missing required concrete fields.,"Verify assessor details, title/liens, street-level condition, and whether the parcel is practically usable before bidding.",Low
06625-92-27-04570,4.91,Risky / Needs Verification,Watch,Bid cost 1228.54 for parcel 06625-92-27-04570 at 4621 S 29 AV W stays in Risky / Needs Verification because crime risk is High and economic data is Unknown; fallback confidence is Low.,Crime signal is High with Low confidence. Economic risk is Unknown with Unknown confidence.,Geocoding confidence is weak. Area-level crime proxy is high risk. Crime context is low-confidence and city-level only. Economic coverage is weak or incomplete.,Fallback used: Reasoning summary missing required concrete fields.,"Verify assessor details, title/liens, street-level condition, and whether the parcel is practically usable before bidding.",Low
21350-03-30-12520,5.5,Avoid,Avoid,"At a bid cost of 1129.22 for parcel 21350-03-30-12520 (2005 E PINE ST N, Tulsa 74110), the area and property profile are weak for a Top 50 slot. The tract shows high poverty (35%), high unemployment (~10%), low median home value (~57,800), and high vacancy (~18%), indicating a fragile local housing market. Crime is flagged as high risk at the city level, and we lack parcel- or neighborhood-specific crime data. The property type is coded as C IMP, suggesting commercial or unclear improvements, which is misaligned with a residential-focused auction screen and adds use/exit uncertainty. These factors outweigh the low entry price.","Crime context: City-level proxy for Tulsa indicates high crime risk (Crime Risk Score 1.7, Tulsa safer than only about 2% of U.S. cities, violent-crime odds ~1 in 107, property-crime odds ~1 in 22). This is low-confidence and not parcel-specific, but directionally negative. Economic context (Census Tract 1300): median household income ~47,612 with high poverty (35.05%), high unemployment (9.98%), low median home value (~57,800), moderate rent (~892), high vacancy (18.01%), and majority owner-occupied (62.14%). Overall, the tract is economically stressed with limited value support and elevated risk.","1) High crime risk based on city-level proxy, with no finer-grained incident data. 2) Weak economic fundamentals: high poverty, high unemployment, low home values, and high vacancy in the tract. 3) Property type coded as C IMP, suggesting commercial or non-standard improvements, which may not fit a residential investment strategy and could complicate use, financing, or resale. 4) Owner name and some property details are unclear, increasing title and occupancy uncertainty. 5) High-risk area classification in the rule-based pre-score (5.91, Avoid) with residential likelihood only 3.0.","1) No parcel-level or 0.5-mile crime incident counts; only city-level crime proxy is available. 2) No detailed property characteristics (building size, condition, year built, current use, utilities, zoning specifics). 3) No confirmation of current occupancy, code violations, or liens beyond the tax issue. 4) No recent sales comps or rent comps specific to this micro-area. 5) No photos, street-view condition check, or environmental/adjacency context (e.g., nearby industrial, busy commercial corridor).","If considered despite the Avoid rating, first verify zoning and current use with Tulsa County/City (confirm whether C IMP is commercial, mixed-use, or another non-residential category) and pull a recent street-view or in-person drive-by to assess structure condition, surrounding uses, and any obvious code or nuisance issues. Only after confirming a viable use and acceptable block-level conditions should you invest time in title research and detailed financial modeling.",Medium
90318-03-18-02670,5.3,Avoid,Avoid,"At a bid cost of 1485.18 for 4406 N LEWIS AV E, Tulsa, the tract-level economics are very weak (median household income ~27k, poverty ~46%, unemployment ~17%, vacancy ~31%, low owner-occupancy), and the city-level crime proxy for Tulsa indicates high crime risk. While the property and geocoding data are clear and confidence is high, the surrounding area signals are too poor for this to be a strong Top 50 candidate at this price point.","Crime data is a low-confidence, city-level proxy for Tulsa, but indicates high risk: Tulsa is reported as safer than only about 2% of U.S. cities, with violent-crime odds around 1 in 107 and property-crime odds around 1 in 22, and an overall rate of about 45 incidents per 1,000 residents. Economic data for Census Tract 8001 is high-confidence and also high risk: median household income is about 27,083 USD, poverty rate is roughly 46%, unemployment about 16.9%, median home value around 66,100 USD, vacancy rate about 30.8%, and owner-occupancy under 40%. These indicators suggest a distressed, high-turnover area with elevated crime and weak economic fundamentals.","1) High crime risk based on city-level proxy for Tulsa, with low-confidence parcel specificity. 2) Very weak local economic context: high poverty, high unemployment, high vacancy, and low owner-occupancy, which can depress values and increase management and rehab risk. 3) Low median home value (~66k) limits upside relative to renovation or holding costs. 4) Property type is only labeled as A IMP with no detail on structure condition, size, or current use, so physical and legal risks are unknown. 5) Neighborhood-level crime data is missing, so true block-level safety and stability cannot be confirmed.","Missing parcel-specific and neighborhood-level crime incident data; no information on structure condition, square footage, year built, or current occupancy; no confirmation of utilities, code violations, liens beyond the tax issue, or demolition/condemnation status; no recent sales comps or rent comps for this immediate micro-area; no zoning/use confirmation beyond generic A IMP classification.","If considered despite the area risks, manually verify parcel 90318-03-18-02670 by: (1) pulling county assessor and code-enforcement records for structure details, condition notes, and any demolition or nuisance actions; (2) checking for additional liens or special assessments beyond the tax delinquency; (3) reviewing recent sales and rent data within the same tract or immediate blocks around 4406 N LEWIS AV E; and (4) obtaining more granular crime data (police incident maps or reports) for the 0.25–0.5 mile radius to confirm whether this specific block is better or worse than the city-level averages.",Medium
57845-73-14-53590,5.1,Avoid,Avoid,Bid cost 1194.46 for parcel 57845-73-14-53590 at 14750 S GRANT ST W stays in Avoid because crime risk is Medium and economic data is Unknown; fallback confidence is Low.,Crime signal is Medium with Low confidence. Economic risk is Unknown with Unknown confidence.,Geocoding confidence is weak. Crime context is low-confidence and city-level only. Economic coverage is weak or incomplete. Property type appears commercial or unclear for a residential auction screen.,Fallback used: Reasoning summary missing required concrete fields.,"Verify assessor details, title/liens, street-level condition, and whether the parcel is practically usable before bidding.",Low
47650-03-19-08360,4.52,Avoid,Avoid,Bid cost 1099.89 for parcel 47650-03-19-08360 at ADDRESS UNKNOWN stays in Avoid because crime risk is High and economic data is Unknown; fallback confidence is Low.,Crime signal is High with Low confidence. Economic risk is Unknown with Unknown confidence.,Address is missing or unclear. Geocoding confidence is weak. Area-level crime proxy is high risk. Crime context is low-confidence and city-level only. Economic coverage is weak or incomplete.,Fallback used: Reasoning summary missing required concrete fields.,"Verify assessor details, title/liens, street-level condition, and whether the parcel is practically usable before bidding.",Low
47650-03-19-08370,4.52,Avoid,Avoid,Bid cost 1099.89 for parcel 47650-03-19-08370 at ADDRESS UNKNOWN stays in Avoid because crime risk is High and economic data is Unknown; fallback confidence is Low.,Crime signal is High with Low confidence. Economic risk is Unknown with Unknown confidence.,Address is missing or unclear. Geocoding confidence is weak. Area-level crime proxy is high risk. Crime context is low-confidence and city-level only. Economic coverage is weak or incomplete.,Fallback used: Reasoning summary missing required concrete fields.,"Verify assessor details, title/liens, street-level condition, and whether the parcel is practically usable before bidding.",Low
47650-03-19-08580,4.52,Avoid,Avoid,Bid cost 1099.89 for parcel 47650-03-19-08580 at ADDRESS UNKNOWN stays in Avoid because crime risk is High and economic data is Unknown; fallback confidence is Low.,Crime signal is High with Low confidence. Economic risk is Unknown with Unknown confidence.,Address is missing or unclear. Geocoding confidence is weak. Area-level crime proxy is high risk. Crime context is low-confidence and city-level only. Economic coverage is weak or incomplete.,Fallback used: Reasoning summary missing required concrete fields.,"Verify assessor details, title/liens, street-level condition, and whether the parcel is practically usable before bidding.",Low
47650-03-19-08590,4.52,Avoid,Avoid,Bid cost 1099.89 for parcel 47650-03-19-08590 at ADDRESS UNKNOWN stays in Avoid because crime risk is High and economic data is Unknown; fallback confidence is Low.,Crime signal is High with Low confidence. Economic risk is Unknown with Unknown confidence.,Address is missing or unclear. Geocoding confidence is weak. Area-level crime proxy is high risk. Crime context is low-confidence and city-level only. Economic coverage is weak or incomplete.,Fallback used: Reasoning summary missing required concrete fields.,"Verify assessor details, title/liens, street-level condition, and whether the parcel is practically usable before bidding.",Low
